"","Position","Player","Tour_Match","Team","Metres_Gained","Carries","Passes","Tackles","Missed_Tackles","Turnovers_Won","Turnovers_Conceded","Defenders_Beaten","Try_Assists","Offloads","Clean_Breaks","Lineouts_Won","Lineouts_Stolen","Match_Data_File"
"58",5,"Courtney Lawes","M2","BIL",9,8,4,14,2,1,NA,1,NA,NA,NA,4,1,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"59",6,"James Haskell","M2","BIL",22,7,1,9,2,NA,NA,1,NA,1,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"60",7,"Justin Tipuric","M2","BIL",25,8,4,10,NA,1,NA,1,NA,1,NA,1,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"61",8,"CJ Stander","M2","BIL",36,19,4,13,NA,NA,1,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"62",16,"Rory Best","M2","BIL",NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"63",17,"Joe Marler","M2","BIL",3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"64",18,"Kyle Sinckler","M2","BIL",5,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"65",19,"Iain Henderson","M2","BIL",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"66",20,"Peter O'Mahony","M2","BIL",NA,2,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"67",21,"Greig Laidlaw","M2","BIL",2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"68",22,"Jonathan Sexton","M2","BIL",NA,5,16,3,4,1,1,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"69",23,"Liam Williams","M2","BIL",5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"70",15,"Michael Collins","M2","Blues",75,9,7,4,NA,NA,NA,2,NA,1,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"71",14,"Matt Duffie ","M2","Blues",51,6,3,1,1,NA,2,NA,NA,1,NA,1,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"72",13,"George Moala ","M2","Blues",11,6,2,7,1,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"73",12,"Sonny Bill Williams","M2","Blues",42,10,7,8,2,2,2,2,1,2,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"74",11,"Rieko Ioane","M2","Blues",84,12,1,8,1,NA,1,2,NA,NA,2,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"75",10,"Stephen Perofeta ","M2","Blues",33,7,9,2,NA,1,2,NA,1,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"76",9,"Augustine Pulu ","M2","Blues",10,10,64,2,NA,1,NA,3,NA,NA,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"77",1,"Ofa Tu'ungafasi ","M2","Blues",3,6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"78",2,"James Parsons ","M2","Blues",43,6,1,10,NA,NA,NA,2,NA,1,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"79",3,"Charlie Faumuina ","M2","Blues",7,7,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"80",4,"Gerard Cowley-Tuioti ","M2","Blues",7,5,1,7,2,NA,NA,NA,NA,NA,NA,2,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"81",5,"Scott Scrafton","M2","Blues",2,6,3,10,2,NA,2,NA,NA,NA,NA,NA,1,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"82",6,"Akira Ioane","M2","Blues",52,10,3,15,NA,NA,1,3,NA,NA,2,2,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"83",7,"Blake Gibson ","M2","Blues",6,6,3,11,2,NA,1,1,NA,NA,NA,3,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"84",8,"Steven Luatua","M2","Blues",15,13,6,6,NA,NA,NA,1,NA,3,NA,3,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"85",16,"Epalahame Faiva ","M2","Blues",1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"86",17,"Alex Hodgman ","M2","Blues",NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"87",18,"Sione Mafileo ","M2","Blues",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"88",19,"Jimmy Tupou ","M2","Blues",NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"89",20,"Kara Pryor ","M2","Blues",NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"90",21,"Sam Nock ","M2","Blues",NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"91",22,"Ihaia West ","M2","Blues",41,1,NA,4,NA,NA,1,3,NA,NA,1,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"92",23,"Tinoai Faiane ","M2","Blues",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M2-British & Irish Lions _ Blues v British & Irish Lions.html"
"93",15,"Stuart Hogg","M3","BIL",12,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"94",14,"George North","M3","BIL",36,7,3,6,1,3,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"95",13,"Jonathan Davies","M3","BIL",9,1,NA,1,1,NA,2,1,NA,NA,1,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"96",12,"Ben Te'o","M3","BIL",44,11,4,6,1,NA,2,5,NA,NA,3,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"97",11,"Liam Williams","M3","BIL",82,10,3,4,NA,NA,4,2,NA,NA,3,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"98",10,"Owen Farrell","M3","BIL",17,11,27,4,3,1,NA,1,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"99",9,"Conor Murray","M3","BIL",32,7,79,9,2,NA,NA,NA,NA,1,1,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"100",1,"Mako Vunipola","M3","BIL",12,9,5,13,NA,2,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"101",2,"Jamie George","M3","BIL",9,6,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"102",3,"Tadhg Furlong","M3","BIL",3,4,2,7,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"103",4,"Alun Wyn Jones","M3","BIL",5,7,2,5,2,NA,3,NA,NA,1,NA,2,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"104",5,"George Kruis","M3","BIL",3,7,3,8,1,NA,1,NA,NA,NA,NA,6,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"105",6,"Peter O'Mahony","M3","BIL",13,7,5,5,NA,1,1,NA,NA,NA,NA,2,1,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"106",7,"Sean O'Brien","M3","BIL",18,7,3,4,1,NA,NA,NA,1,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"107",8,"Taulupe Faletau","M3","BIL",56,13,7,12,NA,NA,1,3,NA,1,1,1,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"108",16,"Ken Owens","M3","BIL",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"109",17,"Jack McGrath","M3","BIL",NA,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"110",18,"Dan Cole","M3","BIL",NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"111",19,"Maro Itoje","M3","BIL",NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"112",20,"CJ Stander","M3","BIL",14,7,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"113",21,"Rhys Webb","M3","BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"114",22,"Jonathan Sexton","M3","BIL",35,7,10,10,2,1,NA,NA,NA,NA,1,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"115",23,"Anthony Watson","M3","BIL",87,7,5,2,NA,NA,1,3,NA,NA,2,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"116",15,"Israel Dagg","M3","Crusaders",40,12,8,2,1,NA,2,1,NA,1,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"117",14,"Seta Tamanivalu","M3","Crusaders",24,3,2,5,1,NA,NA,2,NA,1,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"118",13,"Jack Goodhue","M3","Crusaders",43,3,4,14,3,NA,1,3,NA,NA,2,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"119",12,"David Kaetau Havili","M3","Crusaders",35,12,3,11,2,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"120",11,"George Bridge ","M3","Crusaders",43,7,NA,2,1,NA,4,3,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"121",10,"Richie Mo'unga ","M3","Crusaders",54,5,17,10,NA,1,2,1,NA,NA,1,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"122",9,"Bryn Hall ","M3","Crusaders",9,2,58,4,NA,1,NA,NA,NA,NA,1,1,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"123",1,"Joe Moody ","M3","Crusaders",2,2,2,10,1,NA,NA,NA,NA,1,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"124",2,"Codie Taylor ","M3","Crusaders",5,3,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"125",3,"Owen Franks ","M3","Crusaders",NA,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"126",4,"Luke Romano ","M3","Crusaders",13,6,1,6,NA,NA,3,NA,NA,1,NA,1,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"127",5,"Sam Whitelock","M3","Crusaders",6,6,2,8,NA,NA,1,1,NA,NA,NA,4,1,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"128",6,"Heiden Bedwell-Curtis ","M3","Crusaders",17,7,1,13,NA,NA,NA,1,NA,NA,NA,1,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"129",7,"Matt Todd","M3","Crusaders",18,8,1,13,3,1,2,1,NA,NA,1,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"130",8,"Jordan Taufua","M3","Crusaders",8,7,3,10,2,1,2,NA,NA,1,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"131",16,"Ben Funnell ","M3","Crusaders",1,5,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"132",17,"Wyatt Crockett ","M3","Crusaders",1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"133",18,"Michael Alaalatoa ","M3","Crusaders",6,3,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"134",19,"Quinten Strange ","M3","Crusaders",NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"135",20,"Jed Brown ","M3","Crusaders",8,1,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"136",21,"Mitchell Drummond ","M3","Crusaders",NA,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"137",22,"Mitch Hunt ","M3","Crusaders",1,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"138",23,"Tim Bateman ","M3","Crusaders",NA,1,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,"data/html/M3-British & Irish Lions _ Crusaders v British & Irish Lions.html"
"139",15,"Jared Payne","M4","BIL",8,7,NA,4,1,1,3,2,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"140",14,"Jack Nowell","M4","BIL",29,6,2,8,NA,1,3,1,NA,1,1,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"141",13,"Jonathan Joseph","M4","BIL",56,10,4,7,2,NA,1,4,NA,NA,2,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"142",12,"Robbie Henshaw","M4","BIL",22,11,6,8,1,1,2,1,NA,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"143",11,"Tommy Seymour","M4","BIL",58,6,1,7,2,1,3,NA,NA,NA,1,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"144",10,"Dan Biggar","M4","BIL",20,8,18,7,1,NA,1,1,1,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
